Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,The Nutcracker,Pyotr Tchaikovsky / Berliner Philharmoniker / Simon Rattle,4.05,228,2010
2,Johannes Passion Version IV (1749),Johann Sebastian Bach / Johann Hermann Schein,3.86,542,2011
3,A Little Electronic Milky Way of Sound,Roland Kayn,3.88,208,2017
4,Plays the Music of Twin Peaks,Xiu Xiu,3.79,8800,2016
5,Dead Roots Stirring,Elder,3.77,3707,2011
6,The Attitude Era,Dean Blunt & Inga Copeland,3.76,1645,2012
7,Compro,Skee Mask,3.73,5437,2018
8,Western Teleport,Emperor X,3.75,1237,2011
9,Passages Into Deformity,Defeated Sanity,3.72,1089,2013
10,Spiegel; Monumentum; Momente,Friedrich Cerha,3.74,487,2010
11,Sleep,Max Richter,3.72,1328,2015
12,Phanerozoic I: Palaeozoic,The Ocean Collective,3.72,1832,2018
13,Pelagial,The Ocean,3.7,2705,2013
14,From Sleep,Max Richter,3.72,908,2015
15,Exuvia,The Ruins of Beverast,3.71,2404,2017
16,Untitled Album 1,Atka,3.71,1386,2018
17,8,Prince of Denmark,3.71,1610,2016
18,Nature Denatured and Found Again,Michael Pisaro-Liu,3.7,1061,2019
19,Internal Flight,Estas Tonne,3.71,943,2013
20,Planet Lonely,DJ Healer,3.7,837,2018
21,"...And as We Have Seen the Storm, We Have Embraced the Eye",Chapel of Disease,3.68,1443,2018
22,Reflections of a Floating World,Elder,3.67,4372,2017
23,Recomposed by Max Richter: Vivaldi - The Four Seasons,Max Richter / Antonio Vivaldi,3.65,1990,2012
24,Lore,Elder,3.66,2840,2015
25,London 2012,Hype Williams,3.71,223,2012
26,Oversleepers International,Emperor X,3.69,352,2017
27,Chapters of Repugnance,Defeated Sanity,3.65,1029,2010
28,Blood of the Nations,Accept,3.64,1696,2010
29,FORGET,Xiu Xiu,3.62,7170,2017
30,Disposal of the Dead / Dharmata,Defeated Sanity,3.65,868,2016
31,Fremde Zeit Addendum,Jakob Ullmann,3.65,592,2012
32,Geist,OG Keemo,3.65,684,2019
33,Chamber Music With Double Bass,Sofia Gubaidulina / KlangArt Berlin / Martin Heinze,3.72,202,2011
34,Finisterre,Der Weg einer Freiheit,3.64,1066,2017
35,Girl With Basket of Fruit,Xiu Xiu,3.56,11917,2019
36,Children of the Corn,Sopor Aeternus & The Ensemble of Shadows,3.66,209,2011
37,Looping State of Mind,The Field,3.61,3025,2011
38,Asa,Falkenbach,3.63,670,2013
39,Zerfall,Finsterforst,3.66,185,2019
40,The White Goddess (A Grammar of Poetic Myth),Atlantean Kodex,3.62,628,2013
41,Excursions,C418,3.61,1057,2018
42,O camiño das mans valeiras,Sangre de Muérdago,3.63,275,2015
43,The Scythe of Cosmic Chaos,Sulphur Aeon,3.59,915,2018
44,Fatal Power of Death,Beyond,3.61,365,2013
45,"A Pierre. Dell'azzurro silenzio, inquietum; ...sofferte onde serene...; Omaggio a György Kurtág; Con Luigi Dallapiccola",Luigi Nono,3.64,194,2012
46,Aventine,Agnes Obel,3.59,1645,2013
47,Hoagascht,Lunar Aurora,3.59,978,2012
48,Alpinist / Masakari,Alpinist / Masakari,3.63,203,2011
49,At the Edge of Time,Blind Guardian,3.56,2304,2010
50,Anima Mundi,Vril,3.59,1228,2017
51,Koma Saxo,Koma Saxo,3.63,168,2019
52,Blood Vaults: The Blazing Gospels of Heinrich Kramer,The Ruins of Beverast,3.59,941,2013
53,Holon : Agnosie,The Hirsch Effekt,3.61,233,2015
54,Russisch Roulette,Haftbefehl,3.57,259,2014
55,When Worlds Collide,Sinbreed,3.58,225,2010
56,148,C418,3.58,707,2015
57,Timeo ergo sum,Yacøpsæ,3.65,166,2019
58,Orphée,Jóhann Jóhannsson,3.58,650,2016
