Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,A Promise,Xiu Xiu,3.83,15313,2003
2,Matthäus-Passion,Johann Sebastian Bach,3.88,645,2001
3,Pop,GAS,3.83,10219,2000
4,The Ligeti Project II: Lontano; Atmosphères; Apparitions; San Francisco Polyphony; Concert românesc,György Ligeti / Berliner Philharmoniker / Jonathan Nott,3.85,830,2002
5,"Actus tragicus: Cantates BWV 4, 12, 106 & 196",Johann Sebastian Bach / Cantus Cölln / Konrad Junghänel,3.85,447,2000
6,Sunset Mission,Bohren & der Club of Gore,3.79,6099,2000
7,Natura renovatur,Giacinto Scelsi,3.82,1123,2006
8,Knife Play,Xiu Xiu,3.77,8043,2002
9,Turangalîla Symphony; L'ascension,Olivier Messiaen,3.82,308,2000
10,From Here We Go Sublime,The Field,3.76,7913,2007
11,Mutter,Rammstein,3.74,10999,2001
12,Piano Concertos Nos. 23 & 26 'Coronation',Wolfgang Amadeus Mozart,3.83,336,2001
13,The Organ Works,Johann Sebastian Bach / Helmut Walcha,4.22,138,2000
14,Les espaces acoustiques,Gérard Grisey,3.78,982,2005
15,Rain Upon the Impure,The Ruins of Beverast,3.76,2538,2006
16,Blast From the Past,Gamma Ray,3.76,666,2000
17,Cello Suites,Johann Sebastian Bach / Jean-Guihen Queyras,3.89,184,2007
18,Selva morale e spirituale,Claudio Monteverdi,3.81,209,2001
19,Streichquartett Nr. 4; Elohim; Duo; Anagamin; Maknongan; Natura renovatur,Giacinto Scelsi / Klangforum Wien / Hans Zender,3.77,376,2001
20,The Piano Concertos,Béla Bartók,3.93,162,2005
21,See Mi Yah,Rhythm & Sound,3.77,553,2005
22,Black Earth,Bohren & der Club of Gore,3.72,5336,2002
23,Fabulous Muscles,Xiu Xiu,3.7,9480,2004
24,"Tanz, Grosny, Tanz...",Yacøpsæ,3.74,937,2007
25,Foulest Semen of a Sheltered Elite,The Ruins of Beverast,3.73,1516,2009
26,"Prometeo, Tragedia dell'ascolto",Luigi Nono,3.76,236,2007
27,Back to Times of Splendor,Disillusion,3.71,2114,2004
28,Loop-finding-jazz-records,Jan Jelinek,3.7,5568,2001
29,M-16,Sodom,3.72,2470,2001
30,Psalms of the Moribund,Defeated Sanity,3.71,1409,2007
31,The Ligeti Project IV: Hamburg Concerto; Double Concerto; Ramifications; Requiem,György Ligeti,3.75,296,2003
32,Unlock the Shrine,The Ruins of Beverast,3.71,1622,2004
33,VVorldvvithoutend,Katharsis,3.7,1332,2006
34,Charlie Megira und the Hefker Girl,Charlie Megira and The Hefker Girl,3.72,714,2006
35,The Call of the Wretched Sea,Ahab,3.69,3070,2006
36,Silence Is Sexy,Einstürzende Neubauten,3.68,2842,2000
37,The Blue Notebooks,Max Richter,3.67,3194,2004
38,"The Ligeti Project III: Cello Concerto; Clocks and Clouds; Violin Concerto; Síppal, dobbal, nádihegedűvel",György Ligeti,3.74,192,2003
39,Onset of Putrefaction,Necrophagist,3.66,1866,2004
40,Masterplan,Masterplan,3.67,1131,2003
41,Touched,Nadja,3.68,1177,2007
42,The Air Force,Xiu Xiu,3.66,4147,2006
43,Tyrants of the Netherworld,Desaster,3.7,376,2000
44,Precambrian,The Ocean,3.65,2503,2007
45,Sofia Gubaidulina,Sofia Gubaidulina,3.69,420,2002
46,The Dark Ride,Helloween,3.65,2119,2000
47,Kesto (234.48:4),Pan Sonic,3.65,2463,2004
48,Solo Piano,Chilly Gonzales,3.67,754,2004
49,The Metal Opera,Avantasia,3.63,2065,2001
50,No World Order,Gamma Ray,3.65,1254,2001
51,Dooom,Worship,3.66,480,2007
52,Melancholie²,ColdWorld,3.64,2807,2008
53,Sonic Dynamite,Pink Cream 69,3.7,182,2000
54,Sagas,Equilibrium,3.62,1303,2008
55,Virus West,Nagelfar,3.65,658,2001
56,Mond,Lunar Aurora,3.66,591,2005
57,Ok nefna tysvar Ty,Falkenbach,3.64,1132,2003
58,In Jeraspunta - Die Rückkehr der tollwütigen Bestie,Dark Tribe,3.65,665,2004
59,minus.mensch,Alpinist,3.65,647,2009
60,Epitaph,Necrophagist,3.6,3380,2004
61,Soundchaser,Rage,3.64,657,2003
62,Erde,Forseti,3.65,657,2004
63,Piano Solos Vol. 2,Dustin O'Halloran,3.69,208,2006
64,All,Colour Haze,3.64,909,2008
65,Koto-uta; Voyage I; Konzert für Saxophon und Orchester; Ferne-Landschaft II,Toshio Hosokawa,3.68,204,2002
66,The Next Step,Kurt Rosenwinkel,3.68,213,2001
67,Andacht,Lunar Aurora,3.63,1156,2007
68,Alles wieder offen,Einstürzende Neubauten,3.63,1442,2007
69,Heralding: The Fireblade,Falkenbach,3.64,1085,2005
70,So,So,3.64,783,2003
71,Los Sounds de Krauts,Colour Haze,3.64,771,2003
72,Works for Ensemble,Georg Friedrich Haas,3.68,208,2009
73,Shutûn,Troum & All Sides,3.63,1128,2006
74,Peisithanatos,Nyktalgia,3.64,670,2008
75,Burning: A Wish,Lacrimas Profundere,3.66,281,2001
76,Defenders of the Crown,Human Fortress,3.64,247,2003
77,Omorina nad Evropom,Tristan Tzara,3.63,743,2001
78,Boulez Conducts Boulez: Le marteau sans maître; Dérive 1 & 2,Pierre Boulez / Ensemble intercontemporain,3.67,217,2005
79,...zum Tode hin,Finsterforst,3.62,387,2009
