Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Paracletus,Deathspell Omega,3.88,9053,2010
2,Piano Concertos Nos 2 & 3,Sergey Rakhmaninov Сергей Рахманинов,3.96,202,2017
3,Random Access Memories,Daft Punk,3.74,32311,2013
4,Murmuüre,Murmuüre,3.8,6594,2010
5,Woman Worldwide,Justice,3.74,1186,2018
6,Écailles de lune,Alcest,3.69,9797,2010
7,Spiegel; Monumentum; Momente,Friedrich Cerha,3.74,487,2010
8,Recto verso,Paradis,3.7,1432,2016
9,De praestigiis angelorum,VI,3.69,902,2015
10,IV: An Arrow in Heart,Aosoth,3.68,1192,2013
11,L'enfant sauvage,Gojira,3.64,6057,2012
12,Abandonnée / Maléja,"La Tène, Jacques Puech, Louis Jacques, Jérémie Sauvage & Guilhem Lacroux",3.67,600,2018
13,Aldebaran,Natural Snow Buildings,3.68,424,2016
14,The Goat Rodeo Sessions,"Yo-Yo Ma, Stuart Duncan, Edgar Meyer & Chris Thile",3.68,298,2011
15,◙◙◙◙◙◙◙◙◙◙◙◙ [...],qebrµs,3.66,1233,2017
16,Guillaume Perret & The Electric Epic,Guillaume Perret & The Electric Epic,3.7,182,2012
17,Hallucinogen,Blut aus Nord,3.65,2596,2019
18,Kodama,Alcest,3.62,5752,2016
19,Occam Ocean 2,Eliane Radigue / ONCEIM / Frédéric Blondy,3.68,262,2019
20,Fremde Zeit Addendum,Jakob Ullmann,3.65,592,2012
21,Lost Empyrean,Dirge,3.66,534,2018
22,Golden Rule,Muriel Grossmann,3.68,208,2018
23,"Or noir, pt. 2",Kaaris,3.66,231,2014
24,Universal Beings,Makaya McCraven,3.65,1041,2018
25,⊶⊑∷⌊∴⊹∵⌉∷⊒⊷,qebrµs,3.64,552,2012
26,Spiritual Instinct,Alcest,3.61,4689,2019
27,Only Myocardial Infarction Can Break Your Heart,Matt Elliott,3.63,824,2013
28,Une main lave l'autre,Alpha Wann,3.63,646,2018
29,Offertoire,Sühnopfer,3.64,480,2014
30,Abu Nawas Rhapsody,Dhafer Youssef,3.65,235,2010
31,The Synarchy of Molten Bones,Deathspell Omega,3.6,2582,2016
32,Par le sang versé,Véhémence,3.61,1243,2019
33,Or noir,Kaaris,3.59,467,2013
34,The Night Country,Natural Snow Buildings,3.61,1149,2014
35,Paragon Circus,Altesia,3.65,170,2019
36,Zëss : le jour du néant,Magma,3.61,945,2019
37,Acid Mist Tomorrow,Hypno5e,3.62,386,2012
38,Red Silence Lodge,Lethian Dreams,3.64,230,2014
39,Mendelson,Mendelson,3.62,247,2013
40,JVLIVS,SCH,3.61,289,2018
41,"A Pierre. Dell'azzurro silenzio, inquietum; ...sofferte onde serene...; Omaggio a György Kurtág; Con Luigi Dallapiccola",Luigi Nono,3.64,194,2012
42,Monolithe III,Monolithe,3.63,217,2012
43,A Distant (Dark) Source,Hypno5e,3.62,231,2019
44,Melody's Echo Chamber,Melody's Echo Chamber,3.56,5635,2012
