Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Filosofem,Burzum,3.9,24587,1996
2,Hvis lyset tar oss,Burzum,3.84,14133,1994
3,Pétrouchka; Le sacre du printemps,Igor Stravinsky / Cleveland Orchestra / Pierre Boulez,3.9,684,1992
4,Trilogie de la mort,Eliane Radigue,3.86,3145,1998
5,Iannis Xenakis 1: Chamber Music 1955-1990,Iannis Xenakis Ιάννης Ξενάκης / Arditti Quartet / Claude Helffer,3.86,1010,1994
6,The Wooden Prince; Cantata profana,Béla Bartók,3.91,188,1993
7,Complete Works Opp 1-31,Anton Webern / Pierre Boulez,3.85,1069,1991
8,Symphonie No. 6,Gustav Mahler / Wiener Philharmoniker / Pierre Boulez,3.87,386,1995
9,Symphonie No. 5,Gustav Mahler / Wiener Philharmoniker / Pierre Boulez,3.86,496,1997
10,"György Ligeti Edition 3: Works for Piano - Études, Musica ricercata",György Ligeti / Pierre-Laurent Aimard,3.85,672,1997
11,Daphnis et Chloé; La valse,Maurice Ravel / Berliner Philharmoniker / Pierre Boulez,3.86,272,1996
12,Canticles of Ecstasy,Hildegard von Bingen / Sequentia,3.82,1972,1994
13,"The Miraculous Mandarin; Music for Strings, Percussion and Celesta",Béla Bartók,3.84,343,1996
14,Moon Safari,AIR,3.73,19749,1998
15,Turangalîla-Symphonie,Olivier Messiaen,3.82,469,1991
16,"Kyema, Intermediate States",Eliane Radigue,3.8,586,1992
17,The Chemical Wedding,Bruce Dickinson,3.78,2745,1998
18,New Ancient Strings,Toumani Diabaté & Ballaké Sissoko,3.79,2165,1999
19,March to the Black Holocaust,Vlad Tepes / Belkètre,3.76,1597,1995
20,L'école du micro d'argent,IAM,3.76,1573,1997
21,Maxinquaye,Tricky,3.72,9433,1995
22,Memoria Vetusta I: Fathers of the Icy Age,Blut aus Nord,3.75,2959,1996
23,Concerto for Orchestra; 4 Orchestral Pieces,Béla Bartók / Chicago Symphony Orchestra / Pierre Boulez,3.8,213,1993
24,Accident of Birth,Bruce Dickinson,3.74,2102,1997
25,La mer; Nocturnes; Jeux; Rhapsodie pour clarinette et orchestre,Claude Debussy / Cleveland Orchestra / Pierre Boulez,3.76,531,1995
26,Le poème de l'extase; Piano Concerto; Prométhée,Alexander Scriabin Александр Скрябин,3.77,318,1999
27,Images; Prélude à l'après-midi d'un faune; Printemps,Claude Debussy / Cleveland Orchestra / Pierre Boulez,3.78,230,1992
28,Voice of the Blood,Hildegard von Bingen / Sequentia,3.75,456,1995
29,The Piano Concertos; Valses nobles et sentimentales,Maurice Ravel / Pierre Boulez / Krystian Zimerman,3.77,192,1998
30,"Concertos for Cello, Violin & Piano",György Ligeti,3.74,475,1994
31,Vampires of Black Imperial Blood,Mütiilation,3.71,2512,1995
32,Clepsydra; Astray,Horațiu Rădulescu,3.73,674,1990
33,Bolero; Ma mère l'Oye; Rapsodie espagnole; Une barque sur l'océan; Alborada del gracioso,Maurice Ravel / Berliner Philharmoniker / Pierre Boulez,3.75,224,1994
34,"La folia 1490 - 1701: Corelli, Marais, Martín y Coll, Ortiz & Anónimos",Jordi Savall / Rolf Lislevand / Michael Behringer / Arianna Savall / Bruno Cocset / Pedro Estevan / Adela González-Campa,3.74,239,1998
35,Fantaisie militaire,Alain Bashung,3.7,1487,1998
36,Miserere; Messe; Motets,Gregorio Allegri / A Sei Voci,3.71,581,1994
37,Prose combat,MC Solaar,3.7,922,1994
38,Et exspecto resurrectionem mortuorum; Chronochromie; La Ville d'en haut,Olivier Messiaen / Cleveland Orchestra / Pierre Boulez,3.72,257,1998
39,Où je vis,Shurik'N,3.69,419,1998
40,For Samuel Beckett,Morton Feldman / Klangforum Wien / Sylvain Cambreling,3.73,138,1999
41,Messe de Notre Dame,Guillaume de Machaut / Ensemble Organum / Marcel Pérès,3.7,506,1996
42,Symphony of Psalms; Symphony in Three Movements; Symphonies of Wind Instruments,Igor Stravinsky / Berliner Philharmoniker / Pierre Boulez,3.7,269,1999
43,Opéra Puccino,Oxmo Puccino,3.68,372,1998
44,Rue des cascades,Yann Tiersen,3.68,669,1996
45,Enjoy the Violence,Massacra,3.66,1127,1991
46,Symphonie No. 9,Gustav Mahler / Chicago Symphony Orchestra / Pierre Boulez,3.99,135,1998
47,Carnet de routes,"Romano, Sclavis, Texier & Le Querrec",3.7,204,1995
48,Ultima Thulée,Blut aus Nord,3.64,2869,1995
49,Scrabbling at the Lock,The Ex & Tom Cora,3.65,1407,1991
50,Sequenzas,Luciano Berio / Ensemble intercontemporain,3.68,253,1998
51,The Rite of Strings,"Stanley Clarke, Al Di Meola & Jean-Luc Ponty",3.67,410,1995
