Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,가장 보통의 존재,Sister's Barbershop 언니네이발관,3.75,1703,2008
2,빨간플러그 (Redplug),Myhairball 나의머리카락뭉치,3.7,579,2007
3,너희가 재앙을 만날 때에 내가 웃을 것이며 너희에게 두려움이 임할 때에 내가 비웃으리라 (잠언 1:26),Bulssazo 불싸조,3.69,282,2006
4,누명,Verbal Jint,3.67,329,2008
5,7집,Lee So-ra 이소라,3.68,217,2008
6,201,The Black Skirts 검정치마,3.64,730,2008
7,The Shamans of the Eastern Seaboard,Kim Suk Chul Ensemble,3.66,332,2005
8,Day Is Far Too Long,Electron Sheep 전자양,3.64,1664,2001
9,Another Secret,Nastyona 네스티요나,3.64,413,2008
10,Baby Love,Humming Urban Stereo,3.62,650,2007
11,눈썹달,Lee So-ra 이소라,3.65,248,2004
12,Remapping the Human Soul,Epik High,3.65,275,2007
13,Mojito,House Rulez 하우스룰즈,3.6,425,2007
14,Free Spirit,Kim Doo Soo 김두수,3.59,480,2002
15,日常茶飯事,Roller Coaster,3.6,349,2000
16,보편적인 노래,"Broccoli, you too? 브로콜리 너마저",3.59,436,2008
17,180g Beats,DJ Soulscape,3.59,250,2000
18,네가이곳에서보게될것들 (Things You Are Going to See Here),Jowall 조월,3.59,203,2009
19,숲,Electron Sheep 전자양,3.59,235,2007
20,Soony 6,Jang Pil-soon 장필순,3.56,405,2002
21,청년폭도맹진가,No Brain,3.72,163,2000
22,Rough Draft in Progress,Hollow Jan,3.56,225,2006
23,sur Incises; Messagesquisse; Anthèmes 2,Pierre Boulez,3.74,156,2000
24,별일 없이 산다,Kiha & The Faces 장기하와 얼굴들,3.52,274,2009
25,Garion,Garion 가리온,3.6,189,2004
26,월간뱀파이어 다섯번째호 ‘지혜롭고아름다운사람을포기하는법’,Byul.org 모임 별,3.69,156,2006
27,Non-Linear,Mot 못,3.5,294,2004
28,Magic to Go to My Star,Lee Jung-hyun,3.63,155,2001
29,서태지 6집 [울트라맨이야],서태지,3.49,362,2000
30,Heavy Bass,P-Type,3.71,159,2004
31,Isaiah,"Kang Tae-hwan 강태환, Mi Yeon & Park Je Chun",3.79,154,2006
32,Instant Pig,Clazziquai Project,3.48,292,2004
33,Bluedawn,Bluedawn 푸른새벽,3.47,363,2003
34,I ♡ Natural,Lee Jung Hyun 이정현,3.47,218,2002
35,우리는 속옷도 생겼고 여자도 늘었다네,Underwears Band 우리는 속옷도 생겼고 여자도 늘었다네,3.45,253,2006
36,Absolute First Album,T-ARA,3.42,467,2009
37,Vol.1,Lee Jang Hyuk 이장혁,3.6,147,2004
38,Clichè,Yoon Sang 윤상,3.61,156,2000
39,Healing Process,Nell,3.69,145,2006
40,Partial Eclipse,49 Morphines,3.4,171,2008
41,Nihm,Okkyung Lee,3.36,406,2005
42,Very Very Nice! and Short Cake,Humming Urban Stereo,3.49,164,2005
43,Demolish,Ignito,3.81,122,2006
44,Loose Community,Otomo Yoshihide / Park Je Chun / Mi Yeon,3.5,162,2003
45,보옴이 오면,Bluedawn 푸른새벽,3.34,252,2006
46,Aero,Vidulgi Ooyoo,3.32,340,2008
47,순간을 믿어요,Sister's Barbershop 언니네이발관,3.34,188,2004
48,이정현 II (Lee Jung Hyun II),Lee Jung Hyun 이정현,3.53,147,2000
49,BoA,BoA,3.29,215,2009
50,Guckkasten,Guckkasten 국카스텐,3.37,178,2009
51,Psy From the Psycho World!,PSY,3.27,524,2000
52,Let It Rain,Nell,3.53,149,2003
53,"Sweet Cuts, Distant Curves","Choi Joonyong, Hong Chulki, Sachiko M & Otomo Yoshihide",3.26,374,2008
54,First Love,Yiruma,3.31,186,2001
55,Separation Anxiety,Nell,3.54,151,2008
56,Revolution,KARA,3.23,217,2009
57,Lovers,DJ Soulscape,3.61,115,2003
58,Becoming Typewriter,Ryu Hankil,3.2,184,2009
59,Taxi Driver,Dynamic Duo,3.65,123,2004
60,Life Is Strange,Seoul Electric Band 서울전자음악단,3.58,120,2009
61,아홉가지 기분,Nastyona 네스티요나,3.85,109,2007
62,꿈의 팝송,Sister's Barbershop 언니네이발관,3.2,187,2002
63,Just Pop,My Aunt Mary,3.44,131,2004
64,Nat Jam,zzzaam 잠,3.49,117,2001
65,Choose My Life-U,S.E.S.,3.43,142,2002
66,Girls on Top,BoA,3.35,162,2005
67,7th Issue,Seo Taiji,3.43,140,2004
68,下水戀歌,Crying Nut,3.6,97,2001
69,The SHINee World,SHINee,3.05,393,2008
70,이상한 계절,Mot 못,3.57,117,2007
71,The Haunted House,Pyha 폐허,3.02,676,2008
72,Listen to My Heart,BoA,3.25,164,2002
73,Sound G,Brown Eyed Girls,3.04,220,2009
74,Donawhale,Donawhale,3.45,112,2007
75,Girls' Generation (소녀시대),Girls' Generation 소녀시대,2.98,587,2007
76,Requiem#1,zzzaam 잠,3.33,117,2002
77,Map of the Human Soul,Epik High,3.33,133,2003
78,Fanatic,Fana 화나,3.4,130,2009
79,Atlantis Princess,BoA,3.16,161,2003
80,"Pieces, Part One",Epik High,3.23,139,2008
81,Espresso,Deli Spice,3.29,115,2003
82,Mirotic,TVXQ! 東方神起,3.24,156,2008
83,Colorful Express,Peppertones,3.45,102,2005
84,Pax,Loro's,3.32,124,2008
85,Sound Renovates a Structure,Asoto Union,3.58,85,2003
86,A Letter From Greenland,S.E.S.,3.33,115,2000
87,사랑의 유람선,Underwears Band 우리는 속옷도 생겼고 여자도 늘었다네,3.31,112,2003
88,Absolute,Roller Coaster,3.52,87,2002
89,Valenti,BoA,3.21,142,2003
90,The Wonderland,Jaurim,3.41,100,2000
91,Quatuor pour la fin du temps,Olivier Messiaen,3.82,77,2000
92,Des canyons aux étoiles...,Olivier Messiaen,3.65,82,2003
93,Infield Fly,Moonlight Fairy 달빛요정역전만루홈런,3.36,101,2004
94,My Name,BoA,3.09,133,2004
95,No. 1,BoA,2.97,154,2002
96,Map the Soul (魂),Epik High,3.35,103,2009
97,[e],Epik High,3.22,116,2009
98,Swan Songs,Epik High,3.11,130,2005
99,Love & Honesty,BoA,3.22,121,2004
100,Outgrow,BoA,3.21,115,2006
