Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
66,A Pyrrhic Existence,Esoteric,3.66,1191,2019
67,Neō Wax Bloom,Iglooghost,3.62,8644,2017
68,Trust in the Lifeforce of the Deep Mystery,The Comet Is Coming,3.62,8418,2019
69,Semantics: The Benzo Chronicles,goreshit,3.66,2325,2015
70,English Electric (Part One),Big Big Train,3.67,666,2012
71,水に流す (Mizuninagasu),desert sand feels warm at night,3.68,556,2019
72,Nothing Important,Richard Dawson,3.65,1856,2014
73,I Forget Where We Were,Ben Howard,3.66,1692,2014
74,Anastasis,Dead Can Dance,3.64,3613,2012
75,NTS Session 3,Autechre,3.65,1507,2018
76,Genesis Revisited II,Steve Hackett,3.67,402,2012
77,Luxury Problems,Andy Stott,3.63,6508,2012
78,Wisdom of Elders,Shabaka and The Ancestors,3.66,1584,2016
79,Everywhere at the End of Time: Stage 4,The Caretaker,3.62,3654,2018
80,The Family Jewels,Marina & the Diamonds,3.62,5276,2010
81,Process,Sampha,3.62,8469,2017
82,Love & Hate,Michael Kiwanuka,3.65,2466,2016
83,Invitation to Her's,Her's,3.65,1377,2018
84,March of Progress,Threshold,3.64,712,2012
85,In Colour,Jamie xx,3.58,12419,2015
86,ΛΛ Λ Y Λ,MIA,3.6,7022,2010
87,We're Here Because We're Here,Anathema,3.62,3251,2010
88,Grace for Drowning,Steven Wilson,3.62,3747,2011
89,Black Focus,Yussef Dayes & Kamaal Williams,3.64,2532,2016
90,There Is a Place,Maisha,3.66,589,2018
91,Let Them Eat Chaos,Kae Tempest,3.63,1633,2016
92,2020,Richard Dawson,3.61,4108,2019
93,Asheran,Dvne,3.65,730,2017
94,6 Feet Beneath the Moon,King Krule,3.59,9365,2013
95,English Electric (Part Two),Big Big Train,3.63,518,2013
96,Shadow Work,Mammal Hands,3.65,448,2017
97,On Strange Loops,Mithras,3.63,888,2016
98,Motorway,Fearofdark,3.63,682,2012
99,Fletcher Moss Park,Matthew Halsall,3.66,297,2012
100,Animals Acoustic,TTNG,3.62,995,2018
