Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,★ [Blackstar],David Bowie,4.13,37121,2016
2,A Moon Shaped Pool,Radiohead,3.96,45829,2016
3,Plastic Beach,Gorillaz,3.85,32923,2010
4,OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,3.84,25409,2018
5,Schlagenheim,black midi,3.81,27069,2019
6,Magdalene,FKA twigs,3.84,20263,2019
7,Time 'n' Place,Kero Kero Bonito,3.82,21660,2018
8,Skeleton Tree,Nick Cave & The Bad Seeds,3.84,11467,2016
9,PRODUCT,SOPHIE,3.84,8787,2015
10,GREY Area,Little Simz,3.81,15573,2019
11,E,Ecco2k,3.79,19226,2019
12,OIL OF EVERY PEARL'S UN-INSIDES Remix Album (NON STOP),SOPHIE,3.82,3467,2019
13,Let England Shake,PJ Harvey,3.78,12212,2011
14,Vision Quest,Maria & The Mirrors,3.83,1337,2012
15,Immunity,Jon Hopkins,3.77,11656,2013
16,Black Metal,Dean Blunt,3.76,11348,2014
17,Joy as an Act of Resistance.,IDLES,3.71,16603,2018
18,Everywhere at the End of Time: Stage 6,The Caretaker,3.75,4898,2019
19,Africa Express Presents... Terry Riley's In C Mali,Terry Riley / Africa Express,3.8,1150,2014
20,No Now,Clarence Clarity,3.73,8295,2015
21,新しい日の誕生 (Atarashii hi no tanjō),2814,3.71,12791,2015
22,The Nutcracker,Pyotr Tchaikovsky / Berliner Philharmoniker / Simon Rattle,4.05,228,2010
23,An Empty Bliss Beyond This World,The Caretaker,3.7,10376,2011
24,The Attitude Era,Dean Blunt & Inga Copeland,3.76,1645,2012
25,Slowdive,Slowdive,3.67,17974,2017
26,Push the Sky Away,Nick Cave & The Bad Seeds,3.71,8229,2013
27,Your Queen Is a Reptile,Sons of Kemet,3.72,6601,2018
28,When the World Was One,Matthew Halsall & Gondwana Orchestra,3.76,764,2014
29,elseq 4,Autechre,3.74,1711,2016
30,The Room Extended,Keith Rowe,3.73,620,2016
31,Peasant,Richard Dawson,3.71,6061,2017
32,Charli,Charli XCX,3.64,20257,2019
33,Get to Heaven,Everything Everything,3.68,9238,2015
34,The Raven That Refused to Sing (And Other Stories),Steven Wilson,3.69,7387,2013
35,Leak 04-13 (Bait Ones),Jai Paul,3.68,10016,2019
36,Continuum Unbound,Michael Pisaro-Liu,3.73,706,2014
37,gnb,goreshit,3.72,1942,2012
38,Life Sentence,Satan,3.72,1235,2013
39,m b v,My Bloody Valentine,3.62,22320,2013
40,Exai,Autechre,3.7,4751,2013
41,Paragon of Dissonance,Esoteric,3.71,1160,2011
42,Kiwanuka,Michael Kiwanuka,3.7,4794,2019
43,LP1,FKA twigs,3.65,14806,2014
44,The Mountain,Haken,3.69,3444,2013
45,Makin' Magick,DJ Sabrina the Teenage DJ,3.7,2887,2017
46,Relentless,Sutcliffe Jugend,3.7,368,2019
47,Music for Church Cleaners Vol. I and II,Áine O'Dwyer,3.71,1637,2015
48,Syro,Aphex Twin,3.64,16370,2014
49,Hand. Cannot. Erase.,Steven Wilson,3.67,5145,2015
50,Everywhere at the End of Time: Stage 3,The Caretaker,3.68,3976,2017
51,Brutalism,IDLES,3.66,9580,2017
52,Bonito Generation,Kero Kero Bonito,3.61,18062,2016
53,Weather Systems,Anathema,3.66,3689,2012
54,The Ooz,King Krule,3.63,13463,2017
55,Pop,Carousels,3.71,623,2013
56,Amateur Doubles,Graham Lambkin,3.68,1483,2011
57,NTS Session 4,Autechre,3.68,1548,2018
58,Gods of War - At War,Macabre Omen,3.68,899,2015
59,Ghosteen,Nick Cave and The Bad Seeds,3.64,7562,2019
60,Recomposed by Max Richter: Vivaldi - The Four Seasons,Max Richter / Antonio Vivaldi,3.65,1990,2012
61,Blood Lust,Uncle Acid & The Deadbeats,3.66,4091,2011
62,There Is Love in You,Four Tet,3.65,7656,2010
63,Bish Bosch,Scott Walker,3.63,5017,2012
64,Visions,Haken,3.66,1993,2011
65,Deliverance,Culprate,3.67,1414,2014
