Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Illmatic,Nas,4.26,50344,1994
2,Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,4.22,42143,1993
3,Spiderland,Slint,4.16,49746,1991
4,In the Aeroplane Over the Sea,Neutral Milk Hotel,4.09,68657,1998
5,The Low End Theory,A Tribe Called Quest,4.16,38543,1991
6,Either / Or,Elliott Smith,4.16,36305,1997
7,Endtroducing.....,DJ Shadow,4.13,38570,1996
8,Soundtracks for the Blind,Swans,4.15,27560,1996
9,Nevermind,Nirvana,4.01,64896,1991
10,In Utero,Nirvana,4.05,50864,1993
11,The Downward Spiral,Nine Inch Nails,4.09,35825,1994
12,Aquemini,OutKast,4.13,25313,1998
13,Midnight Marauders,A Tribe Called Quest,4.12,24729,1993
14,Symbolic,Death,4.12,22673,1995
15,Grace,Jeff Buckley,4.07,34921,1994
16,Liquid Swords,Genius/GZA,4.1,24935,1995
17,The Lonesome Crowded West,Modest Mouse,4.08,25326,1997
18,The Infamous,Mobb Deep,4.1,17633,1995
19,ATLiens,OutKast,4.06,20433,1996
20,Ready to Die,The Notorious B.I.G.,4.04,23354,1994
21,When the Pawn,Fiona Apple,4.06,19385,1999
22,Rust in Peace,Megadeth,4.02,26474,1990
23,Perfect From Now On,Built to Spill,4.05,18780,1997
24,Siamese Dream,Smashing Pumpkins,3.99,32633,1993
25,Black on Both Sides,Mos Def,4.06,16456,1999
26,Rage Against the Machine,Rage Against the Machine,3.98,32565,1992
27,The Miseducation of Lauryn Hill,Lauryn Hill,4.02,20828,1998
28,Stratosphere,Duster,3.98,26896,1998
29,Dirt,Alice in Chains,4.01,27953,1992
30,Human,Death,4.0,16346,1991
31,Elliott Smith,Elliott Smith,4.03,19113,1995
32,The Velvet Rope,Janet,3.99,8785,1997
33,XO,Elliott Smith,3.96,18503,1998
34,"Crooked Rain, Crooked Rain",Pavement,3.96,23911,1994
35,The Mollusk,Ween,4.02,19613,1997
36,Moment of Truth,Gang Starr,3.86,8629,1998
37,Weezer [Blue Album],Weezer,3.98,43402,1994
38,Things Fall Apart,The Roots,3.96,14393,1999
39,The Fragile,Nine Inch Nails,3.99,16885,1999
40,Repetition,Unwound,,11031,1996
41,Bone Machine,Tom Waits,3.97,12381,1992
42,Ænima,Tool,3.91,26008,1996
43,The Sound of Perseverance,Death,3.94,15554,1998
44,Kyuss [Welcome to Sky Valley],Kyuss,3.93,17685,1994
45,Mystic Stylez,Three-6 Mafia,3.96,11567,1995
46,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,3.9,27034,1995
47,Music for 18 Musicians,Steve Reich / Steve Reich and Musicians,3.98,3522,1998
48,Only Built 4 Cuban Linx...,Raekwon,3.94,12074,1995
49,Stress: The Extinction Agenda,Organized Konfusion,3.97,6194,1994
50,Keep It Like a Secret,Built to Spill,3.93,13817,1999
51,Emergency & I,The Dismemberment Plan,3.9,17736,1999
52,New Plastic Ideas,Unwound,3.95,9851,1994
53,Individual Thought Patterns,Death,3.93,12447,1993
54,American Football,American Football,3.83,31991,1999
55,I Can Hear the Heart Beating as One,Yo La Tengo,3.9,18517,1997
56,The Great Annihilator,Swans,3.91,16622,1995
57,Yank Crime,Drive Like Jehu,3.93,11882,1994
58,Mos Def & Talib Kweli Are Black Star,Black Star,3.93,11579,1998
59,The Soft Bulletin,The Flaming Lips,3.87,23772,1999
60,White Light From the Mouth of Infinity,Swans,3.89,17973,1991
61,California,Mr. Bungle,3.9,14090,1999
62,Operation: Doomsday,MF DOOM,3.87,23592,1999
63,Pinkerton,Weezer,3.8,34389,1996
64,Red House Painters [Rollercoaster],Red House Painters,3.91,12002,1993
65,Lifestylez ov da Poor & Dangerous,Big L,3.93,9831,1995
66,Repeater,Fugazi,3.88,19041,1990
67,Superunknown,Soundgarden,3.88,19380,1994
68,6 Feet Deep,Gravediggaz,3.92,7484,1994
69,When the Kite String Pops,Acid Bath,3.9,11083,1996
70,Through Silver in Blood,Neurosis,3.9,9628,1996
71,Reasonable Doubt,Jay-Z,3.89,14575,1997
72,The 6 String Quartets,Béla Bartók / Takács Quartet,3.95,1524,1997
73,Automatic for the People,R.E.M.,3.86,20173,1992
74,I Could Live in Hope,Low,3.87,15343,1994
75,Around the Fur,Deftones,3.83,25430,1997
76,Down Colorful Hill,Red House Painters,3.87,14388,1992
77,Pierced From Within,Suffocation,3.91,5380,1995
78,Seasons in the Abyss,Slayer,3.88,13453,1990
79,Bizarre Ride II the Pharcyde,The Pharcyde,3.89,9886,1992
80,Blowout Comb,Digable Planets,3.9,8088,1994
81,Ridin' Dirty,UGK,3.91,5993,1996
82,Buhloone Mindstate,De La Soul,3.91,4774,1993
83,Ironman,Ghostface Killah,3.9,7333,1996
84,Ask the Ages,Sonny Sharrock,3.92,3481,1991
85,Willisau (Quartet) 1991,Anthony Braxton,3.92,873,1992
86,Doggystyle,Snoop Doggy Dogg,3.85,14429,1993
87,Mental Funeral,Autopsy,3.88,6228,1991
88,Stakes Is High,De La Soul,3.91,3846,1996
89,Angel Dust,Faith No More,3.84,14833,1992
90,Goo,Sonic Youth,3.81,23697,1990
91,Symphony No. 3,Henryk Mikołaj Górecki,3.89,3671,1992
92,The Chronic,Dr. Dre,3.83,17358,1992
93,"Burritos, Inspiration Point, Fork Balloon Sports, Cards in the Spokes, Automatic Biographies, Kites, Kung Fu, Trophies, Banana Peels We've Slipped On and Egg Shells We've Tippy Toed Over",Cap'n Jazz,3.87,8229,1995
94,Koyaanisqatsi,Philip Glass,3.91,1263,1998
95,Onward to Golgotha,Incantation,3.89,4285,1992
96,Effigy of the Forgotten,Suffocation,3.88,5762,1991
97,Diabolical Conquest,Incantation,3.89,2675,1998
98,Die Kunst der Fuge,Johann Sebastian Bach / Tatiana Nikolayeva,3.92,708,1992
99,Painful,Yo La Tengo,3.86,10629,1993
100,Fake Train,Unwound,3.87,8986,1993
